DCCN0060000,CD  6 G/M
DCCN1000000,SUPERCORD 100 G/M
DEE20400000,NOBELIT 216 - 40 MM.
DLMN0000000,MECHA LENTA
IAE20000000,RIOMEX V-20
IAE40000000,RIOMEX UG
IAH10600400,EMUNEX 6000
IAH10700300,EMUNEX 7000
IAH10800200,EMUNEX 8000
IAH20600400,EMUNEX 6000 TR
IAH20700300,EMUNEX 7000 TR
IAH20800200,EMUNEX 8000 TR
IAHG0000000,RIOFLEX T
IAN10000000,RIOXAM ST/ NAGOLITA A GRANEL EN CAMION
IAN1000025E,NAGOLITA ENSACADA (EXP)
IAN10000250,RIOXAM ST/ NAGOLITA ENSACADA
IAN1000BB00,RIOXAM ST/ NAGOLITA EN BIG-BAGS
IAN1000BB0E,RIOXAM ST/ NAGOLITA EN BIG-BAG EXPORTACION
IAN10010250,ESATITE
IAN10504900,RIOXAM ST/ NAGOLITA ENCART. 50X490 MM.
IAN10554900,RIOXAM ST/ NAGOLITA ENCART. 55X490
IAN10604900,RIOXAM ST/ NAGOLITA ENCART. 60X490 MM.
IAN10654900,RIOXAM ST/ NAGOLITA ENCART. 65X490
IAN10704900,RIOXAM ST/ NAGOLITA ENCART. 70X490 MM.
IAN10754900,NAGOLITA 1 75X490 MM.
IAN10804900,RIOXAM ST/ NAGOLITA ENCART. 80X490 MM.
IAN10854900,RIOXAM ST/ NAGOLITA ENCART. 85X490
IAN11254900,NAGOLITA ENCART. 125X490 MM.
IAN2000025E,ALNAFO ENSACADO (EXP)
IAN20000250,ALNAFO ENSACADO
IDND00M0480,CONECTOR NONEL UB N-00 M 4,8 M
IDND00T1200,CONECTOR NONEL UB N-00 T 12,0 M
IDND25M1200,CONECTOR NONEL UB-25 HT 12,0 M
IEE10322500,RIOMEX E-20 32X250 MM.
IEE10403500,RIOMEX E-20 40X350 MM.
IEE10405350,RIOMEX E-20 40X535
IEE10406100,RIOMEX E-20 40X610
IEE10505000,RIOMEX E-20 50X500 MM.
IEE10555000,RIOMEX E-20 55X500 MM.
IEE10605350,RIOMEX E-20 60X535 MM.
IEE10655350,RIOMEX E-20 65X535 MM.
IEE10755000,RIOMEX E-20 75X500 MM.
IEE10805000,RIOMEX E-20 80X500 MM.
IEE10855000,RIOMEX E-20 85X500 MM.
IEE11055000,RIOMEX E-20 105X500 MM.
IEE11255350,RIOMEX E-20 125X535 MM.
IEE20555000,RIOMEX E-20 INSENSIBLE 55x500
IEE20655350,RIOMEX E-20 INSENSIBLE 65x535
IEE20755000,RIOMEX E-20 INSENSIBLE 75x500
IEE20855000,RIOMEX E-20 INSENSIBLE 85x500
IEE21055000,RIOMEX E-20 INSENSIBLE 105x500
IEE21255350,RIOMEX E-20 INSENSIBLE 125x535
IEE3026250E,RIOMEX E-24 26X250 EXPORTACION
IEE30262500,RIOMEX E-24 26x250
IEE30322500,RIOMEX E-24 32x250
IEE3038500E,RIOMEX E-24 38x500 EXPORTACION
IEE3040350I,RIOMEX E-24 40x350 ITALIA
IEE3040535E,RIOMEX E-24 40X535 EXPORTACION
