1125V	Pax 7 Sacos 25 kg
1115V	Pax 7 Sacos 15 kg
1155V	Pax 7 Encartuchado 55 mm
1160V	Pax 7 Encartuchado 60 mm
1165V	Pax 7 Encartuchado 65 mm
1180V	Pax Encartuchado 80 mm
1185V	Pax 7 Encartuchado 85 mm
1225P	Dinamita 25mm. Ergodyn 
1226U	Dinamita 26mm. Riodin
1228P	Dinamita 28mm. Ergodyn (24 kg/caja)
1232P	Dinamita 32 mm. Ergodyn (24 kg/caja)
1232U	Dinamita 32 mm. Riodin
1238P	Dinamita 38 mm. Ergodyn
1241U	Dinamita 40 mm. Riodin
1250P	Dinamita 50 mm. Ergodyn (24 kg/caja)
1260P	Dinamita 60 mm. Ergodyn
1265UDEIC	Dinamita  65 mm. Riodin
1270P	Dinamita 70 mm. Ergodyn
1270U	Dinamita  70 mm. Riodin
1270U.	Dinamita  70 mm. Riodin cajas 24 kg
1280P	Dinamita 80 mm. Ergodyn (24 kg/caja)
1280U	Dinamita  80 mm. Riodin
1330F	Emulsion 30 mm Nitran
1335F	NITRAM 9 35/500ES
1350.F	Emulsion 50 mm Explus
1350F	NITRAM 9 50/1000ES
1360.1TXF	NITRAM TX 1 60/1560ES
1360.F	Emulsion 60 mm Explus
1360F	NITRAM 9 60/1560ES
1367F	Emulsion 65 mm Nitran
1370.1TXF	NITRAM TX 1 70/2100ES
1370.5F	Emulsion 70 mm Nitran 5 70/2100
1370.F	EXPLUS 70/2100ES
1370F	NITRAM 9 70/2100ES
1380F	NITRAM 9 80/2800ES
1385F	Emulsion 85 mm Nitran
1400U	Pólvora de Mina Riopol
2110005F	DAVEYCORD 5 JN M/XC1.1D
2110006I	SEICORD 6G
2110006U	Cordon det  6 GR. Riocord - 50 m/b 200 m/c
2110006U.	Cordon det  6 GR. Riocord - 400 m/b 800 m/c
2110010F	DAVEYCORD 10 VR M/XC1.1D
2110010I	SEICORD 10G
2110012,I	Cordon det  12 GR. Seicord 100m/b
2110012.U	Cordon det  12 GR. Riocord - 250 m/b
2110012I	Cordon det  12 GR. Seicord - 250m/b
2110012U	Cordon det  12 GR. Riocord - 125 m/b
2110012U.	Cordon det  12 GR. Riocord - 100 m/b
2110012U..	Cordon det  12 GR. Riocord - 50 m/b
2110015F	DAVEYCORD 15 BE M/XC1.1D
2110015I	SEICORD 15G
2110020.I	Cordon det  20 GR. Seicord 100 m/b
2110020F	DAVEYCORD 20 VR 100 M/XC1.1D
2110020I	Cordon det  20 GR. Seicord 200 m/b
2110020U	Cordon det  20 GR. Riocord  200 m/b
2110020UDEIC	Cordon det  20 GR. Riocord  200 m/b
2110040F	DAVEYCORD 40 VR M/XC1.1D
2110070F	DAVEYCORD 70 VR M/XC1.1D
2110080U	Cordon det  80 GR. Riocord - 50 m/bob.
2110100.1U	Cordón det 100 GR. Riocord 50 m/b - 100 m/c
2110100F	Cordon det 100 GR. Daveycord 75m/b - 150 m/c
2110100I	Cordon det 100 GR. Seicord 100m/b - 100 m/c
2110100U	Cordón det 100 GR. Riocord 50m/b-100m/c
2110150I	Cordon det 100 GR. Seicord 50 m/b -- 50 m/c
2210001U	Mecha lenta  100 m/rollo ALBEX
31103000F	DCA I'55B'3M APESXCT1.1B INST
31103001F	DCAI'55B' 3M APESXCT1.1B CR01
31103001M	Det elec insen 3M Nº 1 Riodet 50U/ Caja
31103002F	DCAI'55B' 3M APESXCT1.1B CR02
31103002M	Det elec insen 3M Nº 2 Riodet 50U/ Caja
31103003F	DCAI'55B' 3M APESXCT1.1B CR03
31103003M	Det elec insen 3M Nº 3 Riodet 50U/ Caja
31103004F	DCAI'55B' 3M APESXCT1.1B CR04
31103004M	Det elec insen 3M Nº 4 Riodet 50U/ Caja
31103005F	DCAI'55B' 3M APESXCT1.1B CR05
31103005M	Det elec insen 3M Nº 5 Riodet 50U/ Caja
31103006F	DCAI'55B' 3M APESXCT1.1B CR06
31103006M	Det elec insen 3M Nº 6 Riodet 50U/ Caja
31103007F	DCAI'55B' 3M APESXCT1.1B CR07
31103007M	Det elec insen 3M Nº 7 Riodet 50U/ Caja
31103008F	DCAI'55B' 3M APESXCT1.1B CR08
